Senator,Bills,Committees,District,Party,NEW?,ILBC?,Women's Caucus?,Notes
Javier L Cervantes,Bills,Committees,1,D,NEW,,,
Omar Aquino,Bills,Committees,2,D,,,,
Mattie Hunter,Bills,Committees,3,D,,X,,
Kimberly A. Lightford,Bills,Committees,4,D,,X,,"Not new, just appointed to senate"
Patricia Van Pelt,Bills,Committees,5,D,,,,
Sara Feigenholtz,Bills,Committees,6,D,,,,
Mike Simmons,Bills,Committees,7,D,,X,,
Ram Villivalam,Bills,Committees,8,D,,,,
Laura Fine,Bills,Committees,9,D,,,,
Robert F. Martwick,Bills,Committees,10,D,,,,
Mike Porfirio,Bills,Committees,11,D,NEW,,,
Celina Villanueva,Bills,Committees,12,D,,,,
Robert Peters,Bills,Committees,13,D,,X,,
"Emil Jones, III",Bills,Committees,14,D,,X,,Appointed to replace Scott M Bennett
"Napoleon Harris, III",Bills,Committees,15,D,,X,,
Willie Preston,Bills,Committees,16,D,NEW,X,,
"Elgie R. Sims, Jr.",Bills,Committees,17,D,,X,,
Bill Cunningham,Bills,Committees,18,D,,,,
Michael E. Hastings,Bills,Committees,19,D,,,,
Cristina H. Pacione-Zayas,Bills,Committees,20,D,,,,
Laura Ellman,Bills,Committees,21,D,,,,
Cristina Castro,Bills,Committees,22,D,,,,
Suzy Glowiak Hilton,Bills,Committees,23,D,,,,
Seth Lewis,Bills,Committees,24,R,NEW,,,
Karina Villa,Bills,Committees,25,D,,,,
Dan McConchie,Bills,Committees,26,R,,,,
Ann Gillespie,Bills,Committees,27,D,,,,
Laura M. Murphy,Bills,Committees,28,D,,,,
Julie A. Morrison,Bills,Committees,29,D,,,,
Adriane Johnson,Bills,Committees,30,D,,X,,
Mary Edly-Allen,Bills,Committees,31,D,NEW,,,
Craig Wilcox,Bills,Committees,32,R,,,,
Donald P. DeWitte,Bills,Committees,33,R,,,,
Steve Stadelman,Bills,Committees,34,D,,,,
Dave Syverson,Bills,Committees,35,R,,,,
Michael W. Halpin,Bills,Committees,36,D,NEW,,,
Win Stoller,Bills,Committees,37,R,,,,
Sue Rezin,Bills,Committees,38,R,,,,
Don Harmon,Bills,Committees,39,D,,,,
Patrick J. Joyce,Bills,Committees,40,D,,,,
John F. Curran,Bills,Committees,41,R,,,,
Linda Holmes,Bills,Committees,42,D,,,,
Rachel Ventura,Bills,Committees,43,D,NEW,,,
Sally J. Turner,Bills,Committees,44,R,,,,
Andrew S. Chesney,Bills,Committees,45,R,NEW,,,
David Koehler,Bills,Committees,46,D,,,,
Neil Anderson,Bills,Committees,47,R,,,,
Doris Turner,Bills,Committees,48,D,,X,,
Meg Loughran Cappel,Bills,Committees,49,D,,,,
Jil Tracy,Bills,Committees,50,R,,,,
Chapin Rose,Bills,Committees,51,R,,,,
Paul Faraci,Bills,Committees,52,D,NEW,,,
Tom Bennett,Bills,Committees,53,R,NEW,,,
Steve McClure,Bills,Committees,54,R,,,,
Jason Plummer,Bills,Committees,55,R,,,,
Erica Harriss,Bills,Committees,56,R,NEW,,,
Christopher Belt,Bills,Committees,57,D,,X,,
Terri Bryant,Bills,Committees,58,R,,,,
Dale Fowler,Bills,Committees,59,R,,,,
