,,,,,,,,,,,,,,,,,,,,,View How Available Funds Are Determined,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois State Board of Education,,,,,,,,,,,,,,,,,,,,,Remaining Appropriation Available for Tier Funding,,,,,District Tier Counts,,,,,,Maximum Tier Funding Per Student for Purposes of Calculating Final Tier 2 Funding,,,,,,,,,,,,,,,,,
Evidence-Based Funding (105 ILCS 5/8-8.15) Distribution Calculations for Fiscal Year 2023,,,,,,,,,,,,,,,,,,,,," 300,000,000.00 ",,,,,384,275,72,196,,,,,,,,,,,,,,,,,,,,
"Prepared by State Funding & Forecasting Staff, August 2022",,,,,,,,,,,,,,,,,,,,,New Appropriation Allocation,,,,,Target Ratios,,,,,,T1,T2,T2 FIN,T3,T4,,Funding Allocation Rates,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Tier 1,Tier 2,Tier 3,Tier 4,,Tier 1,Tier 2,Tier 3,Tier 4,,," $ 1,764.48 ", $ 353.23 , $ -   , $ 30.37 , $ 1.32 ,,Tier 1,Tier 2,Tier 3,Tier 4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"150,000,000.00","147,000,000.00","2,700,000.00","300,000.00",,73%,90%,100%,>100%,,,,,,,,,30%,6.28%,0.164%,0.0077%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
,,,,,,,View Your Core Investment Calculation, View Your Per Student Investment Calculation , View Your Additional Investment Calculation ,,,View Your Regionalization Factor,,,,View Your Local Capacity Target Calculation,,,,,,,,,,,,,,,,Additional Calculations for Tier 2 & 3 Step 2 ,,,,,,,,,,,,,,,,,
,,,,,,,Stage 1: Determining Base Adequacy Level,,,,,,,,,Stage 2: Determining Percent of Adequacy,,,,,Determining Distribution Tier,,,,,Stage 3: Determining Tier Funding,,,,,,,,,,,,,Calculating Total State Contribution ,,,,,,,,,,
District ID,District Name,County,Organization Type,,Total ASE,, Core Investment Cost ," Per Student Investment Cost
(Subject to CWI) ", Additional Investments Cost ," Per Student Investment Cost
(Not Subject to CWI) ", Adequacy Target ,"Regionalization Factor
(CWI)"," Final Adequacy Target
(Adjusted for Regionalization Factor) "," Final Adequacy Target Per Student
(Adjusted for Regionalization Factor) ",,Adjusted Local Capacity Target,Adjusted Base Funding Minimum,Final Resources,Final Percent of Adequacy,,Adequacy Funding Gap,Final Adequacy Level ,Tier Assignment,Flag Tier 1,,Tier 1 Funding Gap,Tier 1 Funding,Tier 2 Funding Gap,"Tier 2 Funding
Step 1","Tier 2 Funding
Step 2","Tier 2 Funding 
Step 3",Tier 1 Per Student,Original Tier 2 Per Student,Final Tier 2 Per Student,Tier 3 Per Student,Tier 4 Per Student, Tier 3 Funding , Tier 4 Funding ," Calculated New FY 23 Funding
(Tier Funding)",FY 23 Tier Funding Per Pupil,Gross Base Funding Minimum,Total Gross FY 23 State Contribution,FY 22 EBF Adjustments,Total NET FY 23 State Contribution,,Rep No.,Senator No.,,Per Pupil Gap to Full Funding
0100000000092,ALT SCH-ADAMS/PIKE ROE   (Was 46),ADAMS,Regional,,  36.66 ,,"  240,710.57 ","  33,146.87 ","  76,240.19 ","  216,204.60 ","  566,302.23 ",0.9,"  531,292.46 ","  14,492.42 ",,"  53,129.24 ","  321,764.58 ","  374,893.82 ",70.6%,,"  156,398.64 ",71%,1,1,,"  13,915.11 ","  4,174.53 ","  89,185.37 ","  5,603.66 ","  5,603.66 ",  -   , $ 113.87 , $ 152.85 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  4,174.53 ",  113.87 ,"  321,764.58 ","  325,939.11 ",,"  325,939.11 ",,100,50,,4266
0100000000093,SAFE SCH-ADAMS/PIKE ROE,ADAMS,Regional,,  80.65 ,,"  509,996.15 ","  72,921.31 ","  153,337.23 ","  456,719.77 ","  1,192,974.46 ",0.9,"  1,119,348.99 ","  13,879.09 ",,"  111,934.89 ","  643,876.93 ","  755,811.82 ",67.5%,,"  363,537.17 ",68%,1,1,,"  63,346.96 ","  19,004.09 ","  209,338.36 ","  13,153.06 ","  13,153.06 ",  -   , $ 235.64 , $ 163.09 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  19,004.08 ",  235.63 ,"  643,876.93 ","  662,881.01 ",,"  662,881.01 ",,94,47,,4508
0100100102600,PAYSON COMM UNIT SCHOOL DIST 1,ADAMS,Unit,,  486.47 ,,"  2,978,846.49 ","  439,851.57 ","  892,276.85 ","  2,563,679.49 ","  6,874,654.40 ",0.9,"  6,443,556.90 ","  13,245.53 ",,"  2,461,276.63 ","  2,304,472.79 ","  4,836,319.43 ",75.1%,,"  1,607,237.47 ",75%,2,0,,  -   ,  -   ,"  600,164.21 ","  37,709.28 ","  37,709.28 ",  -   , $ -   , $ 77.52 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  2,344,447.69 ","  2,344,447.69 ",,"  2,344,447.69 ",,94,47,,3304
